league,date,home_team,away_team,hm_odds,dr_odds,aw_odds,hmGfAtHm,hmGagAtHm,hmWatHm,hmDrAtHm,hmLosAtHm,awGfAtAw,awGagAtAw,awWatAw,awDrAtAw,awLosAtAw,hmOppGf,hmOppGagg,hmOppWin,hmOppDraw,hmOppLoss,awOppGf,awOppGagg,awOppWin,awOppDraw,awOppLoss,ftr
D2,22/05/2020 00:00:00,Heidenheim,Wehen,1.75,3.80,4.33,1.7517539629415781,0.7492316917295647,0.5598748211155179,0.3808323925038066,0.05929278638067544,1.6144282077582737,1.2191923352407341,0.3768280651092908,0.18459442955598698,0.4385775053347224,1.2875838960834103,1.6881974573669047,0.23284232604926358,0.30597606451026327,0.46118160944047315,1.4927305318157722,1.3159134937589543,0.40862485188380127,0.3273174743589351,0.26405767375726363,H
D1,22/05/2020 00:00:00,Hertha,Union Berlin,2.30,3.40,3.00,0.8277073477297183,2.359070731071225,0.08300280894148387,0.35275724167670675,0.5642399493818095,1.2726403962982884,2.1400106021108307,0.3245313489896946,0.0828314702253971,0.5926371807849083,1.5639152372004468,1.8384708981946525,0.3406103991796146,0.21943719079361576,0.43995241002676977,2.021314775788137,1.5132750922156357,0.4474012198001153,0.1994707028820115,0.3531280773178732,H
D2,22/05/2020 00:00:00,Nurnberg,Erzgebirge Aue,1.90,3.60,3.75,1.0738866724785912,1.7463871387322343,0.23486544714288374,0.2760822507771693,0.48905230207994693,0.5304895544652853,1.7632793634739212,0,0.2799583105559347,0.7200416894440652,1.3947380262917022,1.5741883381706585,0.3262508821874289,0.23438509892295345,0.4393640188896176,1.5510510527306076,1.3833392580991606,0.37190681955892557,0.355419870851945,0.27267330958912944,D
D1,23/05/2020 00:00:00,Bayern Munich,Ein Frankfurt,1.16,7.50,13.00,2.592496245619291,0.7053413949958087,0.7343192947600923,0.13156290329203668,0.13411780194787107,0.7686235074598834,2.275357807087636,0.16733603407810207,0.12698949950581698,0.7056744664160811,1.458666188397037,1.5443263823045248,0.3303343348001502,0.310606483814191,0.3590591813856589,1.8397785809432665,1.5363669424971156,0.4340400611495081,0.22585540631174764,0.3401045325387443,H
D2,23/05/2020 00:00:00,Darmstadt,St Pauli,2.37,3.30,2.90,1.273927672896283,0.9394501065107747,0.3441293639832874,0.5770092643412531,0.07886137167545941,1.12954514198366,1.6755808828367909,0.1554150534896211,0.3302696525345389,0.5143152939758402,1.3589789645817354,1.4852660640145576,0.3199132686776241,0.31747828002335143,0.3626084512990245,1.7737435085122133,1.253471000011545,0.48182283364103373,0.2668998501890474,0.25127731616991894,H
D1,23/05/2020 00:00:00,Freiburg,Werder Bremen,2.15,3.75,3.00,1.1787863412289061,1.2222931756961295,0.525676062569074,0.10715290638974381,0.36717103104118237,1.21120719078333,2.246145446882071,0.19700976965033165,0.2812147971561987,0.5217754331934696,1.4974158555272141,1.880647384748307,0.34179706690558953,0.21798881656727903,0.44021411652713144,1.793682496872161,1.428649942844222,0.44954969721562454,0.2497711268289165,0.30067917595545907,A
D1,23/05/2020 00:00:00,Mgladbach,Leverkusen,2.30,3.75,2.75,2.3267674065633432,1.2061653726369836,0.7050777944990495,0.1402412860509718,0.15468091944997878,2.1914508675945776,1.2592595840053857,0.6405728774824058,0.1290943664204405,0.23033275609715367,1.6852596916633982,1.919458362786213,0.35459556828769795,0.23566349972614226,0.40974093198615985,1.7121863594352917,1.4854363934186376,0.434880128103706,0.19978637061021204,0.365333501286082,A
D2,23/05/2020 00:00:00,Osnabruck,Hannover,2.87,3.40,2.35,1.0244562649254196,1.697780932719417,0.24784311145769197,0.26671549445280424,0.4854413940895039,1.4917621175468847,1.1354174752390207,0.49281777643956015,0.06538091826140231,0.44180130529903755,1.2628392229158831,1.848085260260358,0.1804104181769387,0.3375149712284705,0.4820746105945909,1.8247285194284033,1.2683326807504822,0.46815667156828733,0.33680469665225343,0.19503863177945926,A
D1,23/05/2020 00:00:00,Paderborn,Hoffenheim,3.10,3.80,2.10,1.297765414894948,2.1851582117641497,0.15896747309541884,0.08995260537570685,0.7510799215288745,1.4635630953427203,1.0221622443988245,0.4102687498761073,0.3666016481962145,0.22312960192767822,1.3291625207776907,1.9352413943598854,0.2885365211768713,0.1441171954840223,0.5673462833391063,2.056393446230784,1.3498582463701623,0.5403731995392012,0.19443798971624537,0.2651888107445536,D
D2,23/05/2020 00:00:00,Sandhausen,Regensburg,2.25,3.40,3.20,1.201299941748566,1.4908137028039843,0.16035989022752498,0.545214548171307,0.294425561601168,0.9435855042079977,2.515243774809785,0.1586767385743721,0.14240643709138892,0.698916824334239,1.2060090707406983,1.772957729659451,0.19878219755713808,0.30533436226434657,0.4958834401785155,1.8112820448929299,1.1735572887872958,0.47333964715233723,0.38272319886488876,0.143937153982774,D
D1,23/05/2020 00:00:00,Wolfsburg,Dortmund,4.20,4.00,1.72,1.313054031309263,0.927678528043764,0.28831068728878767,0.44320666254458385,0.2684826501666285,2.292155476932237,1.6809151793028245,0.588448622151084,0.11758927859772408,0.293962099251192,1.5358452071178994,1.8830341290513548,0.3290045964333693,0.22025653418973926,0.4507388693768915,1.8433538867401655,1.6123349042656272,0.44007791878052566,0.19500754519173488,0.3649145360277394,A
