,league,date,home_team,away_team,xG,xGA,npxG,npxGA,deep,deep_allowed,ppda_coef,oppda_coef,fthg,ftag,ftr
20015,RFPL,2014-08-16,Zenit,Ufa,1.89274,0.0754628,1.13847,0.0754628,14,1,5.233333333333333,22.58823529411765,1,0,H
4500,EPL,2014-08-16,Arsenal,Crystal Palace,1.55411,0.158151,1.55411,0.158151,9,0,2.933333333333333,14.172413793103448,2,1,H
15779,Ligue_1,2014-08-16,Rennes,Evian Thonon Gaillard,1.81988,1.06246,1.81988,1.06246,2,2,14.5,15.041666666666666,6,2,H
16083,Ligue_1,2014-08-16,Toulouse,Lyon,1.43956,1.28964,1.43956,1.28964,7,5,8.130434782608695,10.75,2,1,H
16387,Ligue_1,2014-08-16,Lens,Guingamp,0.908766,1.00409,0.908766,1.00409,2,2,9.20689655172414,15.0,0,1,A
16273,Ligue_1,2014-08-16,Lorient,Nice,1.03357,0.326763,1.03357,0.326763,4,1,10.625,17.333333333333332,0,0,D
16311,Ligue_1,2014-08-16,Metz,Nantes,1.21778,0.623268,0.457753,0.623268,2,2,10.76923076923077,9.208333333333334,1,1,D
19895,RFPL,2014-08-17,CSKA Moscow,Spartak Moscow,0.880551,1.1632,0.880551,0.408928,8,3,5.12,13.904761904761903,0,1,A
20255,RFPL,2014-08-17,Arsenal Tula,Dynamo Moscow,1.02861,2.68242,1.02861,2.68242,10,8,8.0,8.80952380952381,1,2,A
4652,EPL,2014-08-17,Liverpool,Southampton,1.33192,1.55248,1.33192,1.55248,6,9,11.333333333333334,11.13888888888889,2,1,H
19925,RFPL,2014-08-17,Rubin Kazan,Lokomotiv Moscow,1.32708,0.530823,0.572808,0.530823,5,3,9.538461538461538,5.074074074074074,1,1,D
16121,Ligue_1,2014-08-17,St Etienne,Reims,2.42892,0.285467,2.42892,0.285467,11,2,13.0,12.105263157894736,3,1,H
4614,EPL,2014-08-17,Newcastle,Man City,0.965583,1.48053,0.965583,1.48053,6,9,15.590909090909092,12.909090909090908,0,2,A
15817,Ligue_1,2014-08-17,Marseille,Montpellier,1.10223,1.55953,1.10223,1.55953,7,3,5.185185185185185,7.083333333333333,0,2,A
19955,RFPL,2014-08-17,FK Rostov,Krasnodar,1.97411,1.05955,0.465558,1.05955,1,5,6.1875,5.642857142857143,0,2,A
16159,Ligue_1,2014-08-17,Bordeaux,Monaco,3.76512,0.575148,2.24493,0.575148,6,7,13.95,7.0,4,1,H
19985,RFPL,2014-08-18,Akhmat Grozny,M Saransk,0.710709,0.172829,0.710709,0.172829,4,2,9.0,11.708333333333334,1,0,H
20195,RFPL,2014-08-18,Kuban,Amkar,1.15919,0.316348,1.15919,0.316348,9,1,3.717948717948718,11.571428571428571,1,0,H
4804,EPL,2014-08-18,Burnley,Chelsea,0.371141,2.12996,0.371141,2.12996,2,10,17.952380952380953,13.733333333333333,1,3,A
19986,RFPL,2014-08-22,Akhmat Grozny,Arsenal Tula,1.62482,0.588019,1.62482,0.588019,11,2,6.866666666666666,8.931034482758621,3,0,H
8228,Bundesliga,2014-08-22,Bayern Munich,Wolfsburg,2.57012,1.19842,2.57012,1.19842,5,4,9.625,21.85,2,1,H
16350,Ligue_1,2014-08-22,Evian Thonon Gaillard,Paris SG,0.632883,0.388902,0.632883,0.388902,3,6,21.0,9.083333333333334,0,0,D
19866,RFPL,2014-08-23,Ufa,Spartak Moscow,0.395761,2.35689,0.395761,2.35689,2,12,13.166666666666666,9.0,1,2,A
4121,EPL,2014-08-23,Aston Villa,Newcastle,0.507525,0.699295,0.507525,0.699295,4,7,15.523809523809524,8.571428571428571,0,0,D
20016,RFPL,2014-08-23,Zenit,Amkar,1.55724,0.197221,1.55724,0.197221,7,3,12.0,33.642857142857146,2,0,H
8398,Bundesliga,2014-08-23,Hertha,Werder Bremen,1.75585,1.19453,1.75585,1.19453,3,5,5.685714285714286,9.869565217391305,2,2,D
8534,Bundesliga,2014-08-23,Hannover,Schalke 04,1.17979,0.956665,1.17979,0.956665,4,3,9.642857142857142,6.055555555555555,2,1,H
8738,Bundesliga,2014-08-23,FC Koln,Hamburg,0.522276,0.913337,0.522276,0.913337,4,2,13.08,7.068965517241379,0,0,D
8330,Bundesliga,2014-08-23,Hoffenheim,Augsburg,1.52873,0.280777,1.52873,0.280777,6,2,6.588235294117647,5.739130434782608,2,0,H
8670,Bundesliga,2014-08-23,Ein Frankfurt,Freiburg,1.75331,1.38084,1.75331,1.38084,3,13,10.517241379310343,3.4651162790697674,1,0,H
4197,EPL,2014-08-23,Southampton,West Brom,0.665853,0.665791,0.665853,0.665791,5,2,7.444444444444445,12.391304347826088,0,0,D
4349,EPL,2014-08-23,Crystal Palace,West Ham,0.617283,1.33957,0.617283,1.33957,7,6,8.151515151515152,9.045454545454543,1,3,A
4387,EPL,2014-08-23,Chelsea,Leicester,2.02939,0.550894,2.02939,0.550894,12,1,7.052631578947368,9.15625,2,0,H
4539,EPL,2014-08-23,Swansea,Burnley,0.914215,0.843331,0.914215,0.843331,2,9,14.0,13.75,1,0,H
15970,Ligue_1,2014-08-23,Guingamp,Marseille,0.452052,0.708459,0.452052,0.708459,2,3,7.848484848484849,8.0,0,1,A
19926,RFPL,2014-08-23,Rubin Kazan,CSKA Moscow,1.8365,1.60649,1.8365,0.852215,5,14,18.352941176470587,7.217391304347826,2,1,H
8568,Bundesliga,2014-08-23,Dortmund,Leverkusen,0.482324,1.14915,0.482324,1.14915,2,5,3.333333333333333,5.8,0,2,A
4159,EPL,2014-08-23,Everton,Arsenal,1.33429,1.43355,1.33429,1.43355,3,8,15.882352941176473,7.787878787878788,2,2,D
0,La_liga,2014-08-23,Malaga,Ath Bilbao,1.32107,1.14151,0.438073,1.14151,4,5,12.071428571428571,6.3,1,0,H
15666,Ligue_1,2014-08-23,Lille,Lorient,0.782421,0.335937,0.782421,0.335937,5,0,6.0588235294117645,29.642857142857142,2,0,H
16198,Ligue_1,2014-08-23,Reims,Caen,1.8721,1.80265,1.8721,1.80265,2,4,7.952380952380952,17.933333333333334,0,2,A
16008,Ligue_1,2014-08-23,Nice,Bordeaux,0.830133,1.39097,0.830133,0.630877,5,9,9.125,7.0344827586206895,1,3,A
15742,Ligue_1,2014-08-23,Bastia,Toulouse,1.14876,0.714399,0.388668,0.714399,1,2,7.814814814814815,5.615384615384615,1,0,H
15894,Ligue_1,2014-08-23,Montpellier,Metz,1.59321,1.5187,1.59321,0.652707,6,3,7.333333333333333,9.24,2,0,H
38,La_liga,2014-08-23,Sevilla,Valencia,1.17197,1.74903,1.17197,1.74903,8,4,9.416666666666666,10.65,1,1,D
570,La_liga,2014-08-23,Granada,La Coruna,0.548351,0.379371,0.548351,0.379371,2,4,4.775,5.8,2,1,H
722,La_liga,2014-08-23,Almeria,Espanol,0.978788,0.399306,0.978788,0.399306,5,4,6.666666666666667,15.8,1,1,D
20046,RFPL,2014-08-24,Dynamo Moscow,Ural,3.66586,0.220406,3.66586,0.220406,19,0,5.972222222222222,12.3,2,0,H
16236,Ligue_1,2014-08-24,Lyon,Lens,0.907071,1.83188,0.907071,1.83188,6,3,4.25,12.272727272727272,0,1,A
4463,EPL,2014-08-24,Tottenham,QPR,2.38894,1.07617,2.38894,1.07617,8,2,7.724137931034483,16.285714285714285,4,0,H
20286,RFPL,2014-08-24,T Moscow,Krasnodar,0.850627,0.909639,0.850627,0.909639,2,8,10.2,5.176470588235294,0,3,A
4767,EPL,2014-08-24,Hull,Stoke,0.870175,1.60916,0.870175,1.60916,2,13,20.5,9.789473684210526,1,1,D
8806,Bundesliga,2014-08-24,Paderborn,Mainz,0.35254,1.84123,0.35254,1.08346,5,7,7.275,8.15,2,2,D
16122,Ligue_1,2014-08-24,St Etienne,Rennes,1.16489,0.364811,0.40479,0.364811,6,2,8.88,10.153846153846152,0,0,D
4311,EPL,2014-08-24,Sunderland,Man United,0.666489,0.941557,0.666489,0.941557,4,2,12.714285714285714,11.0,1,1,D
20196,RFPL,2014-08-24,Kuban,Lokomotiv Moscow,0.797377,1.801,0.797377,1.04673,4,5,5.65625,5.9523809523809526,2,1,H
8602,Bundesliga,2014-08-24,Mgladbach,Stuttgart,2.40939,0.433199,2.40939,0.433199,7,3,14.105263157894736,14.5,1,1,D
608,La_liga,2014-08-24,Eibar,Sociedad,0.465398,0.975523,0.465398,0.975523,4,1,8.791666666666666,6.666666666666667,1,0,H
19956,RFPL,2014-08-24,FK Rostov,M Saransk,0.842692,0.795556,0.842692,0.795556,6,1,6.555555555555555,13.555555555555555,2,1,H
380,La_liga,2014-08-24,Barcelona,Elche,1.54124,0.10804,1.54124,0.10804,12,0,6.545454545454546,18.392857142857142,3,0,H
15932,Ligue_1,2014-08-24,Nantes,Monaco,2.58841,0.835173,1.81347,0.835173,4,1,12.935483870967742,8.821428571428571,0,1,A
494,La_liga,2014-08-24,Celta,Getafe,1.91721,0.673965,1.91721,0.673965,9,4,5.378378378378378,12.4,3,1,H
456,La_liga,2014-08-24,Levante,Villarreal,0.345435,3.01412,0.345435,3.01412,0,5,10.5,19.5625,0,2,A
418,La_liga,2014-08-25,Real Madrid,Cordoba,0.612645,0.37841,0.612645,0.37841,4,4,8.48,21.5625,2,0,H
4691,EPL,2014-08-25,Man City,Liverpool,1.31375,0.901889,1.31375,0.901889,11,7,17.0,18.22222222222222,3,1,H
266,La_liga,2014-08-25,Vallecano,Ath Madrid,0.357337,0.901586,0.357337,0.901586,3,3,6.92,10.59375,0,0,D
20227,RFPL,2014-08-29,Ural,Akhmat Grozny,0.847584,1.15159,0.847584,1.15159,2,4,8.592592592592593,9.041666666666666,0,1,A
191,La_liga,2014-08-29,Getafe,Almeria,1.31774,1.31079,1.31774,1.31079,3,4,7.555555555555555,9.076923076923077,1,0,H
15819,Ligue_1,2014-08-29,Marseille,Nice,4.68663,0.699986,4.68663,0.699986,7,2,6.892857142857143,8.166666666666666,4,0,H
8365,Bundesliga,2014-08-29,Augsburg,Dortmund,1.00422,2.30342,1.00422,2.30342,2,8,9.041666666666666,13.814814814814817,2,3,A
305,La_liga,2014-08-29,Valencia,Malaga,1.96863,1.13196,1.06964,1.13196,5,4,6.066666666666666,15.36842105263158,3,0,H
20077,RFPL,2014-08-30,M Saransk,T Moscow,1.12186,2.44006,1.12186,2.44006,5,10,16.941176470588236,5.75,1,0,H
4806,EPL,2014-08-30,Burnley,Man United,0.513746,0.467281,0.513746,0.467281,2,11,11.296296296296296,7.142857142857143,0,0,D
20137,RFPL,2014-08-30,Amkar,Spartak Moscow,1.4545,0.848683,1.4545,0.848683,1,4,10.916666666666666,9.095238095238097,2,0,H
8705,Bundesliga,2014-08-30,Stuttgart,FC Koln,0.722885,1.2983,0.722885,1.2983,9,4,6.296296296296297,26.0,0,2,A
8433,Bundesliga,2014-08-30,Werder Bremen,Hoffenheim,2.51429,1.29948,2.51429,1.29948,5,2,4.888888888888889,4.585365853658536,1,1,D
8263,Bundesliga,2014-08-30,Hamburg,Paderborn,1.14049,2.37004,1.14049,2.37004,5,2,3.8285714285714287,9.82857142857143,0,3,A
8297,Bundesliga,2014-08-30,Leverkusen,Hertha,2.53036,0.712547,2.53036,0.712547,8,3,3.9565217391304346,9.375,4,2,H
8637,Bundesliga,2014-08-30,Wolfsburg,Ein Frankfurt,1.00484,1.59633,1.00484,1.59633,4,2,4.971428571428572,12.75,2,2,D
4692,EPL,2014-08-30,Man City,Stoke,0.891768,0.299792,0.891768,0.299792,19,4,3.466666666666667,27.166666666666668,0,1,A
4844,EPL,2014-08-30,QPR,Sunderland,1.27277,0.964343,1.27277,0.964343,7,7,12.384615384615383,7.904761904761905,1,0,H
4616,EPL,2014-08-30,Newcastle,Crystal Palace,1.69776,1.66056,1.69776,1.66056,10,3,4.555555555555555,9.76,3,3,D
4540,EPL,2014-08-30,Swansea,West Brom,2.02641,0.696665,2.02641,0.696665,5,5,13.0,15.464285714285714,3,0,H
4426,EPL,2014-08-30,West Ham,Southampton,0.635223,1.57513,0.635223,1.57513,0,11,27.666666666666668,7.076923076923077,1,3,A
16047,Ligue_1,2014-08-30,Monaco,Lille,1.74105,0.209403,1.74105,0.209403,7,2,8.615384615384615,15.666666666666666,1,1,D
20257,RFPL,2014-08-30,Arsenal Tula,Kuban,0.946525,1.4656,0.19225,1.4656,2,6,5.470588235294118,3.575,0,1,A
12062,Serie_A,2014-08-30,Chievo,Juventus,0.502227,2.37394,0.502227,2.37394,1,12,9.64864864864865,3.827586206896552,0,1,A
4160,EPL,2014-08-30,Everton,Chelsea,1.4491,2.02665,1.4491,2.02665,11,7,6.185185185185185,10.586206896551724,3,6,A
8467,Bundesliga,2014-08-30,Schalke 04,Bayern Munich,1.30795,1.50328,1.30795,1.50328,1,10,17.695652173913043,4.7560975609756095,1,1,D
343,La_liga,2014-08-30,Ath Bilbao,Levante,2.25621,0.331502,2.25621,0.331502,4,3,8.863636363636363,9.545454545454543,3,0,H
647,La_liga,2014-08-30,Cordoba,Celta,0.241504,0.786352,0.241504,0.786352,2,9,12.37037037037037,6.121212121212121,1,1,D
16275,Ligue_1,2014-08-30,Lorient,Guingamp,2.04974,0.607468,2.04974,0.607468,2,4,11.428571428571429,12.652173913043478,4,0,H
16085,Ligue_1,2014-08-30,Toulouse,Evian Thonon Gaillard,0.851431,0.710663,0.851431,0.710663,8,1,4.92,9.857142857142858,1,0,H
15857,Ligue_1,2014-08-30,Caen,Rennes,0.419379,1.17366,0.419379,0.413566,1,10,19.61111111111111,4.296296296296297,0,1,A
16389,Ligue_1,2014-08-30,Lens,Reims,2.67759,1.28585,1.1574,1.28585,4,3,12.333333333333334,12.136363636363637,4,2,H
15933,Ligue_1,2014-08-30,Nantes,Montpellier,1.27017,0.127161,1.27017,0.127161,2,1,5.4,9.0,1,0,H
11606,Serie_A,2014-08-30,Roma,Fiorentina,2.24014,0.377616,2.24014,0.377616,5,3,8.571428571428571,16.5,2,0,H
229,La_liga,2014-08-30,Ath Madrid,Eibar,1.37146,0.855113,1.37146,0.855113,1,6,11.761904761904765,4.433333333333334,2,1,H
153,La_liga,2014-08-30,Espanol,Sevilla,0.945745,1.36011,0.945745,1.36011,4,1,7.027777777777778,6.68,1,2,A
19897,RFPL,2014-08-31,CSKA Moscow,FK Rostov,3.60484,0.209485,2.85057,0.209485,21,3,6.333333333333333,21.6,6,0,H
19927,RFPL,2014-08-31,Rubin Kazan,Ufa,1.7471,0.591905,1.7471,0.591905,12,4,6.6,8.652173913043478,1,1,D
16161,Ligue_1,2014-08-31,Bordeaux,Bastia,1.35871,1.03398,1.35871,1.03398,12,1,5.464285714285714,22.714285714285715,1,1,D
4464,EPL,2014-08-31,Tottenham,Liverpool,0.48592,2.74317,0.48592,1.982,6,4,7.071428571428571,12.12,0,3,A
4122,EPL,2014-08-31,Aston Villa,Hull,0.639316,0.28888,0.639316,0.28888,6,7,28.153846153846157,11.583333333333334,2,1,H
8501,Bundesliga,2014-08-31,Mainz,Hannover,1.0088,0.561787,1.0088,0.561787,7,7,11.294117647058824,10.12,0,0,D
20107,RFPL,2014-08-31,Lokomotiv Moscow,Zenit,0.712147,1.15499,0.712147,1.15499,3,5,10.074074074074074,4.0606060606060606,0,1,A
16313,Ligue_1,2014-08-31,Metz,Lyon,1.50793,2.14951,0.747903,2.14951,3,8,11.962962962962964,8.181818181818182,2,1,H
4236,EPL,2014-08-31,Leicester,Arsenal,0.809743,2.29649,0.809743,2.29649,4,13,11.0,7.5,1,1,D
8773,Bundesliga,2014-08-31,Freiburg,Mgladbach,1.30113,0.321709,0.543351,0.321709,7,1,10.869565217391305,19.0,0,0,D
12138,Serie_A,2014-08-31,Milan,Lazio,2.01129,2.03815,1.24999,1.27685,5,15,11.826086956521738,6.857142857142857,3,1,H
11986,Serie_A,2014-08-31,Atalanta,Verona,0.880993,0.727137,0.880993,0.727137,8,6,8.32,11.80952380952381,0,0,D
20167,RFPL,2014-08-31,Krasnodar,Dynamo Moscow,0.891462,1.1706,0.891462,1.1706,7,13,4.694444444444445,11.176470588235292,0,2,A
533,La_liga,2014-08-31,Villarreal,Barcelona,1.10836,3.12545,1.10836,3.12545,5,11,21.4,3.75,0,1,A
11720,Serie_A,2014-08-31,Udinese,Empoli,1.68654,0.68925,1.68654,0.68925,5,6,12.08695652173913,15.941176470588236,2,0,H
12176,Serie_A,2014-08-31,Torino,Inter,1.09973,1.31374,0.338427,1.31374,5,5,13.38888888888889,8.869565217391305,0,0,D
11796,Serie_A,2014-08-31,Genoa,Napoli,0.520545,1.79022,0.520545,1.79022,3,6,12.28,9.727272727272728,1,2,A
11758,Serie_A,2014-08-31,Palermo,Sampdoria,0.922943,0.803464,0.922943,0.803464,5,4,12.789473684210526,6.666666666666667,1,1,D
11872,Serie_A,2014-08-31,Sassuolo,Cagliari,1.08028,0.852461,1.08028,0.852461,6,6,13.083333333333334,5.162162162162162,1,1,D
12252,Serie_A,2014-08-31,Cesena,Parma,1.09417,0.438551,1.09417,0.438551,3,9,25.416666666666668,9.217391304347826,1,0,H
115,La_liga,2014-08-31,Sociedad,Real Madrid,2.74099,2.31574,2.74099,2.31574,7,8,9.291666666666666,6.793103448275862,4,2,H
15705,Ligue_1,2014-08-31,Paris SG,St Etienne,1.60888,0.384577,1.60888,0.384577,6,2,10.35,16.966666666666665,5,0,H
77,La_liga,2014-08-31,La Coruna,Vallecano,1.89944,2.23586,1.15616,2.23586,4,7,9.25,7.733333333333333,2,2,D
685,La_liga,2014-08-31,Elche,Granada,1.35652,0.762738,1.35652,0.762738,4,5,5.896551724137931,14.63157894736842,1,1,D
8298,Bundesliga,2014-09-12,Leverkusen,Werder Bremen,1.98321,1.72618,1.98321,1.72618,13,4,4.066666666666666,7.0,3,3,D
16238,Ligue_1,2014-09-12,Lyon,Monaco,1.78993,0.920354,1.78993,0.920354,8,7,11.944444444444445,13.347826086956522,2,1,H
724,La_liga,2014-09-12,Almeria,Cordoba,1.03628,0.763656,1.03628,0.763656,5,1,6.0,8.333333333333334,1,1,D
19898,RFPL,2014-09-13,CSKA Moscow,Arsenal Tula,1.81451,0.305538,1.06023,0.305538,12,0,7.896551724137931,17.1875,2,1,H
4503,EPL,2014-09-13,Arsenal,Man City,2.07804,2.30834,2.07804,2.30834,9,16,7.081081081081081,5.0227272727272725,2,2,D
20108,RFPL,2014-09-13,Lokomotiv Moscow,M Saransk,1.80768,0.413487,1.80768,0.413487,11,2,4.451612903225806,14.714285714285714,1,1,D
8808,Bundesliga,2014-09-13,Paderborn,FC Koln,0.327136,0.386458,0.327136,0.386458,7,5,13.4,6.96969696969697,0,0,D
8570,Bundesliga,2014-09-13,Dortmund,Freiburg,1.71642,0.261915,1.71642,0.261915,9,1,13.117647058823527,18.695652173913043,3,1,H
8332,Bundesliga,2014-09-13,Hoffenheim,Wolfsburg,1.15845,1.63553,1.15845,1.63553,10,6,6.307692307692308,12.2,1,1,D
8400,Bundesliga,2014-09-13,Hertha,Mainz,1.71631,2.36643,0.958534,2.36643,3,6,4.243902439024391,7.954545454545454,1,3,A
8230,Bundesliga,2014-09-13,Bayern Munich,Stuttgart,1.22987,0.310166,1.22987,0.310166,13,3,5.0606060606060606,16.96153846153846,2,0,H
4351,EPL,2014-09-13,Crystal Palace,Burnley,0.780534,1.2493,0.780534,0.488131,5,4,12.733333333333333,7.5,0,0,D
