,league,date,home_team,av_hm_g_f,av_hm_g_a,av_hm_xG_f,av_hm_xG_a,av_hm_npxG_f,av_hm_npxG_a,av_hm_deep_f,av_hm_deep_a,av_hm_ppda_f,av_hm_ppda_a,away_team,av_aw_g_f,av_aw_g_a,av_aw_xG_f,av_aw_xG_a,av_aw_npxG_f,av_aw_npxG_a,av_aw_deep_f,av_aw_deep_a,av_aw_ppda_f,av_aw_ppda_a,ftr
0,EPL,2015-01-01,Liverpool,1.425604673180426,0.9053089592574337,1.424830436036814,0.8948006388523799,1.424830436036814,0.8341609467477541,10.197590677563245,5.061410971642839,10.595137133316165,14.572126823650924,Leicester,0.568284871242793,1.607352874449604,0.7738939863825354,1.8145421891330693,0.7738939863825354,1.8145421891330693,4.816966996289472,6.649101288599011,10.443009746392747,8.4144954952237,D
1,EPL,2015-01-01,Southampton,2.0819219509752087,0.8184144550482942,1.6039817781522316,0.8700759745378869,1.6039817781522316,0.8700759745378869,6.344701777508042,5.2289792398952155,9.06809971227246,16.533631117404138,Arsenal,1.6260017952957004,1.3472587678728418,1.6470779831413789,1.0796265758357795,1.4414667135309074,1.0181360857017143,8.967040046014226,4.7781941948138975,9.204513240455082,12.094926114497015,H
2,EPL,2015-01-01,Tottenham,1.0310522190836733,0.9122591610787899,1.2284596343655663,1.2834621663300503,1.2284596343655663,1.235403231043589,3.6420587171243555,3.675262896086533,7.420524495932319,11.247340254041799,Chelsea,1.6369009224792164,0.9921320136614352,1.33944645628864,0.9554806346124738,1.33944645628864,0.9554806346124738,11.347193562870816,5.537765708028913,10.258435894003508,12.619452225112305,H
3,EPL,2015-01-10,West Brom,1.178567374947179,1.610249819805907,1.3184447060072562,1.0781813443138322,1.2047598321957056,0.898874758316308,4.68548324529348,5.695643721404354,10.279685983993577,13.775304055820808,Hull,1.0029948890019837,1.4465672894739414,0.5148348957515246,1.3855993167866765,0.5148348957515246,1.341193086186121,2.074411308165035,8.583749761177014,15.12460838600812,9.576613395199342,H
4,Ligue_1,2015-01-10,Bastia,1.0820056866071917,1.017234267862784,0.9877680852158311,0.8918683618306085,0.891471011531313,0.7828902909380886,2.9430036832304105,3.8341368330804624,6.570031035135616,8.798520658464373,Paris SG,1.491605423041041,1.0360515360802922,1.8641350519420115,1.0451794350550896,1.7424842115857768,0.8524191796933377,8.660575506002901,3.070195712721591,6.620235618625876,18.07016594312175,H
5,Ligue_1,2015-01-10,Guingamp,1.2998052543307133,1.4303248425139157,1.1929334460915972,1.0802756661162094,1.0304655206901625,1.0343683595540363,5.399626835021874,6.044587693651229,10.913923664374325,7.561085798355469,Lens,0.9837389808472573,1.5410417030434338,0.9127675827096356,1.4172184251692894,0.7926994682513903,1.3141911120423526,2.7675023048142426,6.353932958779801,14.228200627757676,7.658211607595674,H
6,Ligue_1,2015-01-10,Lille,1.2860080288829203,0.42678482757079056,1.2938600731212841,0.9959786966068085,1.1051794196562095,0.916164260420995,4.374469035327058,2.841633819642817,7.835545074495598,13.899453948516326,Caen,1.2804024855375506,2.1429206650358132,0.6695620293140108,2.370441270967307,0.6695620293140108,1.7426081465731302,2.392757072713645,6.917430601126885,12.785619901342644,8.528430263011385,H
7,Ligue_1,2015-01-11,Nantes,1.0336870956666686,0.8754121414115326,1.1748118490554293,0.7696688621787626,0.9505389664239846,0.7696688621787626,2.60434100424691,2.4538950446664893,11.728202483287815,9.616102463655789,Metz,0.3642451109218188,2.020209136328928,0.5733462864776232,1.4504026570400945,0.5164233647104914,1.383364492860259,2.8399597415993125,5.68350206919467,9.459119082468673,7.238857105578755,D
8,Ligue_1,2015-01-11,Lyon,2.5887561696558365,0.505959472925373,2.0541990813543545,0.8643191197025472,1.7675237749302946,0.8643191197025472,6.217154605799945,3.04217330396824,9.338626149907942,13.84806203554339,Toulouse,0.8433291894077718,1.658227143542934,0.740565567692285,1.4444681172826233,0.740565567692285,1.1780328126216433,3.3215304860439665,5.004923277864214,7.897111456271838,8.385391468016488,H
9,EPL,2015-01-17,Aston Villa,0.6953481195201717,0.9705430260418354,0.9727385412395875,1.1228475935888023,0.9727385412395875,1.1228475935888023,4.48344624184116,7.837604896387784,18.2909281728075,10.313121052535303,Liverpool,1.301715134768423,1.4570814721236258,1.3549543437948726,1.2060149623247842,1.309245655340147,1.2060149623247842,6.996364674953487,5.7942438551047815,10.40949437570595,11.42355139597349,A
10,EPL,2015-01-17,Swansea,1.4146109174992965,0.8082806002856386,1.2485496952133806,1.0489472973482006,1.2485496952133806,0.9657692059305831,5.762562488664326,5.048382604519651,10.69003810492393,13.206454842347737,Chelsea,1.7508694791923023,1.5374515503259365,1.5284686238419438,1.1045022461554468,1.5284686238419438,1.000857210515155,11.643051135829197,5.378138948875571,9.899218197222758,11.869027271965138,A
11,EPL,2015-01-17,Leicester,1.0852025955243012,1.3822248796534982,1.3832138167960513,1.0925167117505477,1.2759152903822215,1.0925167117505477,5.741315293955533,7.431057480554432,9.660939640067015,7.703682942436962,Stoke,0.8195146424884302,1.4316491888888234,0.9340074808521212,1.3938752272795705,0.833542829712022,1.3938752272795705,3.748967628752453,6.735083533979164,13.53058932221328,7.5323630284270875,A
12,EPL,2015-01-17,Tottenham,1.4114034394048396,1.248879373336702,1.2461176850608942,1.5347628433901968,1.1417467227195242,1.4906411533905153,3.313488987853969,5.046326735854638,7.6431964082466886,10.655826269454122,Sunderland,0.8071219807984923,1.3625110818079629,0.9736990364406346,1.4790902834260757,0.865386730055994,1.4378663047531557,4.3317106206399725,10.763518714355724,12.274661401477497,9.661011693048437,H
