,league,date,home_team,away_team,home_odds,home_odds_max,draw_odds,draw_odds_max,away_odds,away_odds_max
64,E3,2021-10-16,Crawley Town,Sutton,3.1,3.1,3.25,3.52,2.37,2.51
65,E3,2021-10-16,Exeter,Newport County,2.15,2.4,3.4,3.42,3.4,3.4
66,E3,2021-10-16,Leyton Orient,Walsall,1.75,1.85,3.75,3.78,4.75,4.75
67,E3,2021-10-16,Northampton,Mansfield,2.25,2.35,3.2,3.42,3.4,3.4
68,E3,2021-10-16,Oldham,Stevenage,2.7,2.75,3.1,3.35,2.8,2.84
69,E3,2021-10-16,Port Vale,Barrow,2.1,2.16,3.2,3.52,3.8,3.8
70,E3,2021-10-16,Salford,Hartlepool,1.95,2.11,3.25,3.34,4.2,4.29
71,E3,2021-10-16,Scunthorpe,Forest Green,7.5,7.5,3.8,4.05,1.53,1.63
72,E3,2021-10-16,Swindon,Rochdale,2.15,2.26,3.25,3.3,3.6,3.7
73,F1,2021-10-15,Paris SG,Angers,1.33,1.39,5.5,5.75,8.0,9.75
74,F1,2021-10-16,Clermont,Lille,3.3,3.31,3.3,3.56,2.25,2.36
75,F1,2021-10-16,Lyon,Monaco,2.15,2.35,3.6,3.86,3.25,3.25
76,F1,2021-10-17,Troyes,Nice,4.33,4.4,3.6,3.9,1.85,1.92
77,F1,2021-10-17,Bordeaux,Nantes,2.8,2.9,3.3,3.46,2.55,2.76
78,F1,2021-10-17,Brest,Reims,2.3,2.42,3.2,3.25,3.3,3.41
79,F1,2021-10-17,Metz,Rennes,4.33,4.76,3.6,3.71,1.83,1.92
80,F1,2021-10-17,Strasbourg,St Etienne,2.05,2.19,3.4,3.56,3.6,3.75
81,F1,2021-10-17,Montpellier,Lens,3.1,3.2,3.5,3.7,2.25,2.41
82,F1,2021-10-17,Marseille,Lorient,1.5,1.58,4.33,4.54,6.5,6.87
83,F2,2021-10-16,Toulouse,Auxerre,2.05,2.2,3.3,3.6,3.6,3.6
