league,date,home_team,away_team,hm_odds,dr_odds,aw_odds,hmGfAtHm,hmGagAtHm,hmWatHm,hmDrAtHm,hmLosAtHm,awGfAtAw,awGagAtAw,awWatAw,awDrAtAw,awLosAtAw,ftr
EC,01/12/2018 00:00:00,Hartlepool,Dag and Red,1.80,3.50,4.50,-0.2497428819574503,0.3572295042090563,-0.10393040966932132,-0.1079499245622551,0.21188033423157665,-0.3401353049692345,-0.21496007719256172,0.05444415423370724,-0.381665980899857,0.3272218266661497,A
E2,08/12/2018 00:00:00,AFC Wimbledon,Rochdale,2.60,3.30,3.00,-0.3566661485396523,0.5209653125088758,-0.12520777618597528,-0.26761304627236654,0.392820822458342,0.38144126689469693,1.1067610572656814,-0.06746390985400819,-0.10422763559092368,0.17169154544493193,D
E2,08/12/2018 00:00:00,Blackpool,Charlton,2.60,3.25,3.00,0.17048227590003484,-0.21409583680193978,0.19073474636628396,-0.0873262890447844,-0.10340845732149939,0.3670240461582941,0.08083556529469971,0.1798400253329523,-0.18703547388460254,0.007195448551650219,H
E2,08/12/2018 00:00:00,Bristol Rvs,Doncaster,3.10,3.30,2.50,-0.45805803920645216,0.06238184904443966,-0.14635735865160987,-0.17203859512803435,0.31839595377964414,0.4240739490726302,0.21009324115897376,0.08224477445233652,-0.13403394112528408,0.05178916667294753,A
E2,08/12/2018 00:00:00,Burton,Shrewsbury,2.30,3.40,3.40,-0.045885916564633256,-0.5332326650023598,0.19859894988004867,-0.2527934433570548,0.05419449347700622,-0.2761055667032306,0.2696312081610426,-0.1693832985490701,-0.1235519952737974,0.2929352938228675,H
E3,08/12/2018 00:00:00,Bury,Exeter,1.61,4.20,6.00,1.1379148540176112,-0.30033851149331336,0.2621233497363857,-0.06270336292040418,-0.1994199868159815,-0.031714429220920826,-0.5147735570192774,-0.04417956105396484,0.20764469574752564,-0.16346513469356097,H
E3,08/12/2018 00:00:00,Crawley Town,Northampton,3.80,3.60,2.04,0.6457985276491396,0.22388451029142642,0.2436685770960798,-0.16111058053561156,-0.08255799656046817,0.34415517939879137,0.35359566252137364,-0.1116472531002787,-0.027815830719945145,0.13946308382022382,A
E2,08/12/2018 00:00:00,Luton,Fleetwood Town,1.53,4.50,6.50,1.701985259842722,-0.28689638824270114,0.49730707511262795,-0.16851989876575993,-0.32878717634686794,-0.0873930396045377,-0.2921450920043016,-0.06990218796837544,-0.2117524360140917,0.2816546239824674,H
E1,08/12/2018 00:00:00,Middlesbrough,Blackburn,1.75,3.60,5.75,-0.7516844404958373,-0.2965717638357823,0.04260798565182555,-0.057077023418862616,0.014469037767037063,-0.23440916116660526,0.6050236089092564,-0.049732459825564734,-0.10247088535157128,0.15220334517713602,D
E1,08/12/2018 00:00:00,Millwall,Hull,2.25,3.40,3.50,0.05263533441393542,0.2133777782909141,0.02441825483596971,-0.05607665408181256,0.03165839924584285,0.08674682530877531,0.2480602978953994,0.05177766960881314,-0.17719308112236948,0.12541541151355629,D
E3,08/12/2018 00:00:00,Milton Keynes Dons,Carlisle,1.57,4.20,6.50,-0.0015661328434464217,-0.9520276578319542,0.4107791047325403,-0.13915324038091692,-0.27162586435162345,0.48705075828287514,-0.30811914006640606,0.15843090452752145,-0.07357898363450449,-0.08485192089301685,H
E3,08/12/2018 00:00:00,Morecambe,Port Vale,3.00,3.30,2.60,-0.5868205042129134,0.0813941845456907,-0.09540855122467817,-0.14622402457040726,0.24163257579508557,-0.29590279261129115,-0.5110756834205588,0.017259691324475745,-0.11221961313218815,0.09495992180771229,D
E2,08/12/2018 00:00:00,Peterboro,Oxford,2.04,4.00,3.50,0.00011809503007631506,0.1725011093832216,0.05628414046376651,-0.0499177258665911,-0.006366414597175407,-0.6630629634059394,0.346410772683555,-0.3433307310876344,0.24847461570306567,0.09485611538456873,D
E2,08/12/2018 00:00:00,Plymouth,Bradford,2.37,3.50,3.10,0.20979845227598704,0.5847312995663754,0.03174697001354676,-0.2105529338475896,0.17880596383404274,-0.4540267390053663,0.796877203711764,-0.1356961001633383,-0.22344154353838144,0.35913764370171974,D
E1,08/12/2018 00:00:00,Reading,Sheffield United,4.75,3.80,1.80,0.10026710600651345,0.4962276282318525,-0.07964445361971262,-0.05119790937432672,0.1308423629940395,0.5536377013090881,-0.1674554206274732,0.2254649965231399,-0.20929473135672358,-0.016170265166416065,A
E2,08/12/2018 00:00:00,Scunthorpe,Gillingham,2.20,3.50,3.50,0.5045735501226953,1.2427062332438794,-0.1265369679346472,0.006329345399281705,0.12020762253536549,0.21711783038340426,0.368549101783306,0.019366902149806464,-0.1736170443191786,0.15425014216937222,A
E1,08/12/2018 00:00:00,Sheffield Weds,Rotherham,2.14,3.50,3.60,-0.04549661292063889,0.3545993032510273,-0.06086102655805137,0.027441788293699976,0.03341923826435139,-0.5451152838299648,0.16528066683666398,-0.2504520869149728,0.036140260082727305,0.21431182683224537,D
E2,08/12/2018 00:00:00,Walsall,Coventry,2.80,3.50,2.62,-0.17654559283419768,0.5044660032385218,-0.09312025191583578,-0.007957791112214785,0.10107804302805057,0.013157480053860748,0.3462675293608297,0.08666435172051473,-0.21946649857384198,0.13280214685332736,H
E1,08/12/2018 00:00:00,Wigan,Derby,3.40,3.40,2.30,-0.23547700314875142,-0.48759520193714856,0.20344557027155652,-0.02145995545609064,-0.18198561481546566,0.1763230186193585,-0.15913100923160584,0.10582259123254462,-0.1672437128667988,0.06142112163425417,A
