ThisDiv,Date,HomeTeam,Hwpg,Hdpg,Hlpg,Hgspg,Hgcpg,Hstfpg,Hstapg,Hsfpg,Hsapg,AwayTeam,Awpg,Adpg,Alpg,Agspg,Agcpg,Astfpg,Astapg,Asfpg,Asapg,RowValid,FTR,Over
D1,18/08/2001 00:00:00,Hamburg,0.46968994,0.47589886,0.054411218,1.668024,0.93068427,5.4589086,5.0921803,15.267423,11.807634,Kaiserslautern,0.5095788,0.11352604,0.3768952,1.9961596,1.864934,4.988532,5.143,10.818585,12.126824,True,A,Y
SC2,18/08/2001 00:00:00,Hamilton,0.34942505,0.57668626,0.07388877,1.5037749,0.89189327,5.6701207,2.8597255,13.272674,5.226205,Cowdenbeath,0.35803622,0.20028579,0.44167802,0.61640847,1.3457779,3.3307798,4.2414327,8.726543,11.466963,True,H,N
E1,18/08/2001 00:00:00,Sheffield United,0.490085,0.11646512,0.3934499,1.2712752,1.0033758,4.826694,4.0628138,10.399521,8.930159,Gillingham,0.21679232,0.46280527,0.3204024,1.3087012,1.5182728,5.3860383,5.269336,10.092953,11.544445,True,D,N
E3,18/08/2001 00:00:00,Shrewsbury,0.5923376,0.14959067,0.25807184,1.2580103,0.9894946,3.4033651,3.5418966,6.34649,6.987501,Hartlepool,0.4551754,0.31429306,0.23053165,1.3287424,1.053388,4.8040752,3.64297,9.024946,9.032795,True,A,Y
E2,18/08/2001 00:00:00,Stoke,0.5626625,0.25814524,0.17919227,2.14968,1.0319518,5.1704187,3.590717,10.811618,7.689052,Northampton,0,0.40292138,0.5970786,0.5064202,1.5639958,3.5690498,5.7534523,7.640407,12.937055,True,H,N
E0,21/08/2001 00:00:00,Ipswich,0.74932957,0.1758063,0.074864134,1.8875431,0.6709024,6.780625,3.4116402,14.639287,7.8300447,Derby,0.14352556,0.24005862,0.6164158,0.49509934,1.6335326,3.990415,7.7594905,8.706108,14.158553,True,H,Y
D1,21/08/2001 00:00:00,Schalke 04,0.56418556,0.3661908,0.069623575,2.520531,1.429738,5.7376466,3.9143393,12.533113,7.802347,Hansa Rostock,0.29869527,0.16308922,0.5382155,0.63691026,1.1853269,4.26224,6.7914066,9.584778,16.128143,True,H,Y
E0,22/08/2001 00:00:00,Blackburn,0.6134014,0.2734676,0.11313096,1.9057248,0.6769388,8.817723,3.2170453,15.414576,6.4212923,Man United,0.32159358,0.27202293,0.40638345,1.2481652,1.3357629,5.774146,4.255103,11.59148,12.699692,True,D,Y
SC3,25/08/2001 00:00:00,Elgin,0.5150098,0,0.48499,1.224819,1.5698481,3.5462487,3.251244,7.6255364,7.6767883,Stirling,0.29305422,0.357015,0.3499308,1.4948392,1.4568917,3.5149648,5.5058637,7.3670053,11.000141,True,A,Y
E0,25/08/2001 00:00:00,Everton,0.2596917,0.59819883,0.14210948,1.6390334,1.4294034,8.158218,3.4451334,15.059512,8.28916,Middlesbrough,0.28309587,0.38438794,0.33251628,1.2013981,0.8466666,4.134938,5.2926726,9.028716,14.994112,True,H,N
