ThisDiv,Date,HomeTeam,Hwpg,Hdpg,Hlpg,Hgspg,Hgcpg,Hstfpg,Hstapg,Hsfpg,Hsapg,AwayTeam,Awpg,Adpg,Alpg,Agspg,Agcpg,Astfpg,Astapg,Asfpg,Asapg,RowValid,FTR,Over
SC0,18/08/2001 00:00:00,Hearts,0.72495747,0.048604883,0.22643773,1.9243095,0.88748395,5.9835258,4.484661,12.1089735,9.278823,Dundee,0.4612212,0.20781572,0.33096325,1.6560833,1.361529,3.957843,4.0992775,8.159569,12.004624,True,H,Y
E3,18/08/2001 00:00:00,Hull,0.7612979,0.17605072,0.06265141,1.589886,0.7632965,4.974689,3.1382325,10.420149,7.6724825,Plymouth,0.097545594,0.25750056,0.6449539,0.9065543,2.034484,3.58869,7.157992,6.9870625,14.550589,True,D,N
SC2,18/08/2001 00:00:00,Stranraer,0.4671994,0.14907089,0.3837298,1.659094,1.2284259,5.2960715,4.9182262,11.02418,11.088695,Alloa,0.33856672,0.26941112,0.3920223,1.762835,1.4234823,4.2995954,7.149798,6.916795,14.757751,True,D,N
E0,18/08/2001 00:00:00,Sunderland,0.31320238,0.37466678,0.31213078,1.3374192,1.3281435,7.5602326,4.712935,13.699658,9.549129,Ipswich,0.3735354,0.15043381,0.47603083,1.2064065,1.3914553,4.5771546,4.70864,10.843559,10.822386,True,H,N
E3,18/08/2001 00:00:00,Swansea,0.207453,0.3547539,0.437793,1.2520438,1.0088204,4.8284793,3.850836,10.007717,7.7758293,Oxford,0.09373082,0.17757495,0.72869426,1.4541558,2.6249638,3.8146179,8.174796,8.651089,14.789857,True,D,N
E0,22/08/2001 00:00:00,Fulham,0.412594,0.5191488,0.06825723,1.3175306,0.47598866,5.4939575,2.7899039,10.195966,4.952481,Sunderland,0.34705642,0.32359716,0.32934642,1.2869191,1.1338344,4.7550187,6.5081487,10.631515,13.46439,True,H,N
E1,23/08/2001 00:00:00,Rotherham,0.7757672,0,0.22423281,2.4224672,1.4437649,5.277027,3.8033066,9.935192,7.967581,Sheffield United,0.2493321,0.46174964,0.28891826,1.1511981,1.3062878,4.8813853,5.509421,10.613246,11.510323,True,D,N
E1,24/08/2001 00:00:00,Bradford,0.40690967,0.2704655,0.32262483,1.7873775,1.2719646,6.265337,5.8146534,13.2892885,10.774659,Coventry,0.37149468,0.113083996,0.5154212,1.4352716,1.6761744,4.412785,5.6543684,10.328254,12.836828,True,H,Y
E0,25/08/2001 00:00:00,Fulham,0.5248057,0.41997623,0.055218104,1.3154922,0.38506094,5.311324,2.7859018,10.731618,5.4905095,Derby,0.11441941,0.19137613,0.69420445,0.59749025,1.8697548,3.5458808,10.1633215,7.2234793,17.82089,True,D,N
E1,25/08/2001 00:00:00,Grimsby,0.535361,0.14395313,0.3206859,1.0286506,1.0529776,4.103353,3.9774628,11.356939,10.273413,Preston,0.4950247,0.07605127,0.4289239,1.4084532,2.014865,5.591384,7.072988,11.914833,12.934047,True,D,Y
