ThisDiv,Date,HomeTeamFix,Hwpg,Hdpg,Hlpg,Hgspg,Hgcpg,Hsfpg,Hsapg,Hstfpg,Hstapg,AwayTeamFix,Awpg,Adpg,Alpg,Agspg,Agcpg,Asfpg,Asapg,Astfpg,Astapg,RowValid,ftr,over
B1,18/09/2021 00:00:00,Charleroi,0.2660218,0.5338348,0.20014341,1.7288742,1.208321,17.101667,9.890789,6.0725274,4.2479873,Club Brugge,0.6806669,0,0.31933305,1.9981966,1.6657897,13.421138,8.982609,6.062221,3.1856976,True
B1,19/09/2021 00:00:00,Kortrijk,0.29557654,0.21885708,0.48556638,1.3878593,1.6782296,10.532785,12.80482,4.3247185,5.09433,Gent,0.21239789,0.24515563,0.5424465,1.366118,1.150719,13.483358,8.493738,4.0858746,3.5475392,True
D1,18/09/2021 00:00:00,Augsburg,0.16114318,0.15282091,0.6860359,0.85068756,2.5018835,10.542108,14.069061,3.0722013,5.6849613,Mgladbach,0.10775338,0.22875291,0.66349375,1.2386765,2.786356,12.001721,16.41046,4.6967506,6.2391267,True
D1,18/09/2021 00:00:00,Bielefeld,0.251607,0.6061611,0.14223199,0.8029922,0.85373896,12.240259,10.798177,4.300669,3.9272096,Hoffenheim,0.23127882,0.47507262,0.2936485,1.785526,1.4160535,11.331915,14.135554,4.7140307,5.5517435,True
D1,18/09/2021 00:00:00,FC Koln,0.6969499,0.04207333,0.2609768,1.7686232,1.2872405,15.128491,12.114084,4.412592,3.7944345,RB Leipzig,0.17708166,0.041712068,0.7812063,1.2219484,1.4719095,15.435021,8.347177,4.833432,2.7927275,True
D1,19/09/2021 00:00:00,Dortmund,0.90830606,0.09169395,0,3.1446662,1.3015251,16.679129,10.160047,8.230265,3.9996164,Union Berlin,0.10812806,0.4306932,0.46117878,0.86339355,1.5809236,9.47596,12.466142,4.0021477,5.2041035,True
D2,17/09/2021 00:00:00,Nurnberg,0.46364212,0.39588085,0.14047705,1.3312597,0.8318131,14.329343,11.316041,5.0828924,3.351832,Hansa Rostock,0.29977968,0.33296847,0.36725184,1.2323074,1.4347239,7.397143,15.305266,4.8307724,5.368346,True
D2,18/09/2021 00:00:00,Fortuna Dusseldorf,0.3543824,0.4089145,0.23670308,2.1048188,1.7372725,14.650069,9.644943,5.2815332,4.2305746,Regensburg,0.3835489,0.044941016,0.5715101,1.197991,1.5602456,11.099724,12.953268,3.7969635,4.0834036,True
D2,18/09/2021 00:00:00,Sandhausen,0.36546588,0.22618826,0.4083459,1.1007955,1.1610544,11.777645,12.520977,4.101219,4.659625,Heidenheim,0.4215356,0.1110653,0.4673992,1.393877,1.5960208,11.841121,12.820357,4.5246654,4.536918,True
D2,19/09/2021 00:00:00,Darmstadt,0.6606218,0.07844582,0.2609323,2.982592,1.0321083,13.498083,10.848249,5.5615387,4.320123,Dresden,0.3372335,0.26819828,0.3945683,1.5877347,1.4295702,12.104173,17.36297,4.4577584,5.884703,True
D2,19/09/2021 00:00:00,St Pauli,0.8564834,0,0.1435165,2.4568152,0.93760735,14.87424,10.266769,4.698789,2.7646203,Ingolstadt,0.36989364,0,0.63010645,1.083794,2.9049137,8.381737,16.166666,2.833838,6.11854,True
E0,18/09/2021 00:00:00,Wolves,0.28824306,0.051796034,0.659961,0.6330198,1.2711183,16.397758,9.825932,5.079529,4.306113,Brentford,0.39090115,0.49037752,0.11872135,1.5443462,0.7265131,13.016028,6.873684,3.9690723,3.062179,True
E0,18/09/2021 00:00:00,Liverpool,0.54082984,0.27327457,0.18589558,1.4019315,0.72417235,20.772848,7.7514415,6.710001,4.02167,Crystal Palace,0.18407609,0.19145256,0.62447137,0.92069495,2.071741,7.4076796,14.999735,2.9292464,4.7682877,True
E0,18/09/2021 00:00:00,Norwich,0.31500483,0.047214672,0.6377806,1.5190111,1.5187136,14.535139,12.667542,4.5345645,4.0724263,Watford,0.27468354,0.09547707,0.62983936,0.3871489,1.0270476,12.011264,12.8915825,2.6748657,3.8433135,True
E0,19/09/2021 00:00:00,Brighton,0.4469166,0.28383055,0.2692528,1.1074685,0.84777856,16.381851,10.257871,4.0248218,2.754854,Leicester,0.4189727,0.19132456,0.3897027,1.4476235,1.7786192,11.119439,10.674988,3.7729545,3.9192414,True
E0,19/09/2021 00:00:00,Tottenham,0.73676354,0,0.26323655,1.5497198,0.5864684,14.194797,13.101443,5.977474,3.1726086,Chelsea,0.5954867,0.25788552,0.14662786,1.5237117,0.77007324,15.26965,10.640453,4.7672434,3.5950074,True
E1,18/09/2021 00:00:00,Barnsley,0.5151997,0.31266144,0.17213891,1.224282,0.7605221,10.483421,9.994574,3.4188073,3.282691,Blackburn,0.21745975,0.5124406,0.27009958,1.0749549,1.127595,8.914199,12.393334,3.688814,4.2358894,True
E1,18/09/2021 00:00:00,Derby,0.14829698,0.69678074,0.15492228,1.0218362,0.975074,10.94116,11.326059,3.6253705,3.9329915,Stoke,0.2702497,0.30310318,0.42664707,0.9516173,1.4547917,10.125749,12.058547,2.857708,4.087706,True
E1,18/09/2021 00:00:00,Huddersfield,0.42312115,0.20072639,0.37615237,1.631517,1.4276848,10.064049,11.747193,3.36604,4.6434026,Nottm Forest,0.10089669,0.48991606,0.40918732,0.6973666,0.9107569,9.775235,11.670585,2.630527,4.0379076,True
E1,18/09/2021 00:00:00,Middlesbrough,0.30636534,0.2482039,0.44543067,1.4789394,1.861247,12.289319,9.85022,5.0212364,3.7417114,Blackpool,0.2679352,0.41822377,0.31384096,1.4032601,1.2224832,10.453198,11.714087,3.7559795,3.8048754,True
